No,Nama Dokumen,Nomor Dokumen,Tanggal Dokumen,Jenis Dokumen,Isi Dokumen
1,Bukti penerimaan sumbangan,SMKT-AD/KUG/001/2025,18 April 2025,Keuangan,Dokumen 'Bukti penerimaan sumbangan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
2,Laporan kegiatan ekstrakurikuler,SMKT-AD/SW/002/2025,17 March 2025,Siswa,Dokumen 'Laporan kegiatan ekstrakurikuler' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
3,Rencana perbaikan gedung,SMKT-AD/SRP/003/2025,17 April 2025,Sarana dan Prasarana,Dokumen 'Rencana perbaikan gedung' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
4,Daftar inventaris,SMKT-AD/SRP/004/2025,30 July 2025,Sarana dan Prasarana,Dokumen 'Daftar inventaris' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
5,Formulir cuti pegawai,SMKT-AD/KPG/005/2025,23 June 2025,Kepegawaian,Dokumen 'Formulir cuti pegawai' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
6,Proposal kegiatan sekolah,SMKT-AD/ADM/006/2025,03 July 2025,Administrasi,Dokumen 'Proposal kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
7,Daftar fasilitas olahraga,SMKT-AD/SRP/007/2025,20 April 2025,Sarana dan Prasarana,Dokumen 'Daftar fasilitas olahraga' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
8,Laporan hasil konseling,SMKT-AD/SW/008/2025,15 April 2025,Siswa,Dokumen 'Laporan hasil konseling' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
9,Laporan monitoring kegiatan,SMKT-AD/EVL/009/2025,22 May 2025,Evaluasi,Dokumen 'Laporan monitoring kegiatan' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
10,Daftar inventaris,SMKT-AD/SRP/010/2025,01 September 2025,Sarana dan Prasarana,Dokumen 'Daftar inventaris' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
11,Jadwal pemakaian lab,SMKT-AD/SRP/011/2025,12 February 2025,Sarana dan Prasarana,Dokumen 'Jadwal pemakaian lab' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
